item,exp,pronoun,cond,contrast,sent,target,/data/gpt2-xl_surp
1,1,he,m,Match,"When he was off work,",Richard,13.532821655273438
1,1,she,m,Mismatch,"When she was off work,",Keith,15.606739044189453
1,1,she,f,Match,"When she was off work, the",dancer,15.686036109924316
1,1,he,f,Mismatch,"When he was off work,",Laura,15.073165893554688
2,1,he,m,Match,"When he arrived,",Larry,14.004541397094727
2,1,she,m,Mismatch,"When she arrived,",Wayne,14.768468856811523
2,1,she,f,Match,"When she arrived,",Cheryl,15.723817825317383
2,1,he,f,Mismatch,"When he arrived,",Teresa,16.224876403808594
3,1,he,m,Match,"When he was fed up,",Guy,15.472138404846191
3,1,she,m,Mismatch,"When she was fed up,",Joseph,13.859477996826172
3,1,she,f,Match,"When she was fed up,",Cynthia,15.795924186706543
3,1,he,f,Mismatch,"When he was fed up, the",wife,9.95580005645752
4,1,he,m,Match,"When he was talking,",Joseph,13.949629783630371
4,1,she,m,Mismatch,"When she was talking,",Bradley,15.501847267150879
4,1,she,f,Match,"When she was talking,",Dana,16.793718338012695
4,1,he,f,Mismatch,"When he was talking,",Janet,16.238481521606445
5,1,he,m,Match,"When he was nearby,",Larry,14.520710945129395
5,1,she,m,Mismatch,"When she was nearby,",Joseph,13.69869327545166
5,1,she,f,Match,"When she was nearby, the",girl,5.977612018585205
5,1,he,f,Mismatch,"When he was nearby,",Helen,14.859430313110352
6,1,he,m,Match,"When he was lost,",Donald,14.385319709777832
6,1,she,m,Mismatch,"When she was lost,",Brad,16.349525451660156
6,1,she,f,Match,"When she was lost,",Judy,14.775731086730957
6,1,he,f,Mismatch,"When he was lost, the",dancer,16.684707641601562
7,1,he,m,Match,"When he was bad-tempered,",Guy,18.878915786743164
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,15.494976043701172
7,1,she,f,Match,"When she was bad-tempered, the",woman,8.03370189666748
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,15.432103157043457
8,1,he,m,Match,"When he was jealous, the",father,6.9980621337890625
8,1,she,m,Mismatch,"When she was jealous,",Steve,15.13509750366211
8,1,she,f,Match,"When she was jealous,",Catherine,15.751198768615723
8,1,he,f,Mismatch,"When he was jealous, the",dancer,15.146247863769531
9,1,he,m,Match,"When he was in residence,",Dan,13.341527938842773
9,1,she,m,Mismatch,"When she was in residence,",Russell,13.862156867980957
9,1,she,f,Match,"When she was in residence, the",woman,7.294345378875732
9,1,he,f,Mismatch,"When he was in residence, the",wife,10.517497062683105
10,1,he,m,Match,"When he was introduced,",Wayne,13.940464973449707
10,1,she,m,Mismatch,"When she was introduced,",Steve,12.093981742858887
10,1,she,f,Match,"When she was introduced,",Sally,13.684873580932617
10,1,he,f,Mismatch,"When he was introduced,",Teresa,16.696367263793945
11,1,he,m,Match,"When he arrived,",Joseph,12.876605033874512
11,1,she,m,Mismatch,"When she arrived,",Richard,12.669661521911621
11,1,she,f,Match,"When she arrived,",Cheryl,15.723812103271484
11,1,he,f,Mismatch,"When he arrived,",Janet,15.939288139343262
12,1,he,m,Match,"When he felt sad,",Guy,17.32927894592285
12,1,she,m,Mismatch,"When she felt sad,",Rodney,19.13901138305664
12,1,she,f,Match,"When she felt sad,",Amanda,14.923757553100586
12,1,he,f,Mismatch,"When he felt sad,",Sally,16.604114532470703
13,1,he,m,Match,"When he was present,",Wayne,15.54627513885498
13,1,she,m,Mismatch,"When she was present,",Larry,14.916600227355957
13,1,she,f,Match,"When she was present,",Carrie,14.660146713256836
13,1,he,f,Mismatch,"When he was present,",Lori,17.704030990600586
14,1,he,m,Match,"When he was depressed,",Richard,13.934866905212402
14,1,she,m,Mismatch,"When she was depressed,",Steve,15.98227310180664
14,1,she,f,Match,"When she was depressed,",Cynthia,18.80864906311035
14,1,he,f,Mismatch,"When he was depressed,",Amelia,19.122398376464844
15,1,he,m,Match,"When he was around,",Brad,14.750273704528809
15,1,she,m,Mismatch,"When she was around,",Wayne,16.619571685791016
15,1,she,f,Match,"When she was around,",Marie,14.93271541595459
15,1,he,f,Mismatch,"When he was around,",Dana,16.6203556060791
16,1,he,m,Match,"When he was near,",Joseph,12.723082542419434
16,1,she,m,Mismatch,"When she was near,",Richard,13.915168762207031
16,1,she,f,Match,"When she was near,",Dana,16.72001838684082
16,1,he,f,Mismatch,"When he was near,",Janet,17.84998893737793
17,1,he,m,Match,"When he was in court,",Bradley,15.51450252532959
17,1,she,m,Mismatch,"When she was in court,",Steve,14.274545669555664
17,1,she,f,Match,"When she was in court, the",dancer,17.168537139892578
17,1,he,f,Mismatch,"When he was in court,",Helen,16.084627151489258
18,1,he,m,Match,"When he was poorly,",Keith,15.251044273376465
18,1,she,m,Mismatch,"When she was poorly,",Steve,15.445624351501465
18,1,she,f,Match,"When she was poorly,",Dana,15.669143676757812
18,1,he,f,Mismatch,"When he was poorly,",Tracy,17.33243751525879
19,1,he,m,Match,"When he arrived,",Charles,13.298004150390625
19,1,she,m,Mismatch,"When she arrived,",Timothy,16.011873245239258
19,1,she,f,Match,"When she arrived,",Janet,14.528545379638672
19,1,he,f,Mismatch,"When he arrived,",Lori,16.828641891479492
20,1,he,m,Match,"When he was appointed,",Benjamin,14.794862747192383
20,1,she,m,Mismatch,"When she was appointed,",Larry,14.683187484741211
20,1,she,f,Match,"When she was appointed,",Teresa,14.922318458557129
20,1,he,f,Mismatch,"When he was appointed,",Tracy,17.437395095825195
21,1,he,m,Match,"When he was fired,",Timothy,15.266782760620117
21,1,she,m,Mismatch,"When she was fired,",Liam,19.180910110473633
21,1,she,f,Match,"When she was fired,",Teresa,15.099098205566406
21,1,he,f,Mismatch,"When he was fired,",Heidi,18.0417537689209
22,1,he,m,Match,"When he was close, the",father,10.19698715209961
22,1,she,m,Mismatch,"When she was close, the",father,10.07203483581543
22,1,she,f,Match,"When she was close,",Carrie,15.014687538146973
22,1,he,f,Mismatch,"When he was close,",Elizabeth,14.457100868225098
23,1,he,m,Match,"When he was retired,",Steve,11.913771629333496
23,1,she,m,Mismatch,"When she was retired,",Donald,12.230799674987793
23,1,she,f,Match,"When she was retired,",Christina,14.129935264587402
23,1,he,f,Mismatch,"When he was retired, the",dancer,16.41924476623535
24,1,he,m,Match,"When he was abroad, the",guy,11.302470207214355
24,1,she,m,Mismatch,"When she was abroad,",Larry,15.34211540222168
24,1,she,f,Match,"When she was abroad,",Lori,16.47431755065918
24,1,he,f,Mismatch,"When he was abroad,",Catherine,15.034811019897461
25,1,he,m,Match,"When he was discovered,",Thomas,12.890836715698242
25,1,she,m,Mismatch,"When she was discovered,",Donald,14.14986801147461
25,1,she,f,Match,"When she was discovered,",Suzanne,17.660743713378906
25,1,he,f,Mismatch,"When he was discovered,",Dana,15.843921661376953
26,1,he,m,Match,"When he was busy, the",nephew,14.22026538848877
26,1,she,m,Mismatch,"When she was busy,",Bruce,13.795707702636719
26,1,she,f,Match,"When she was busy,",Lori,16.22176170349121
26,1,he,f,Mismatch,"When he was busy,",Christina,17.15639877319336
27,1,he,m,Match,"When he was twenty-one,",Brian,14.918046951293945
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,14.333200454711914
27,1,she,f,Match,"When she was twenty-one,",Naomi,14.03990650177002
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,8.861062049865723
28,1,he,m,Match,"When he was annoyed,",Larry,14.46379566192627
28,1,she,m,Mismatch,"When she was annoyed,",Richard,14.050249099731445
28,1,she,f,Match,"When she was annoyed,",Ann,12.796529769897461
28,1,he,f,Mismatch,"When he was annoyed, the",woman,7.780723571777344
29,1,he,m,Match,"When he was in church,",Liam,18.686246871948242
29,1,she,m,Mismatch,"When she was in church,",Richard,14.943102836608887
29,1,she,f,Match,"When she was in church, the",dancer,15.982751846313477
29,1,he,f,Mismatch,"When he was in church,",Teresa,17.77741241455078
30,1,he,m,Match,"When he was banished,",Timothy,14.857749938964844
30,1,she,m,Mismatch,"When she was banished,",Russell,16.6068172454834
30,1,she,f,Match,"When she was banished,",Sheila,16.729305267333984
30,1,he,f,Mismatch,"When he was banished,",Cheryl,20.02384376525879
31,1,he,m,Match,"When he was angry,",Steve,14.318922996520996
31,1,she,m,Mismatch,"When she was angry,",Wayne,18.26603126525879
31,1,she,f,Match,"When she was angry, the",dancer,14.93431568145752
31,1,he,f,Mismatch,"When he was angry,",Janet,17.72500991821289
32,1,he,m,Match,"When he was distraught,",Brian,15.137271881103516
32,1,she,m,Mismatch,"When she was distraught,",Russell,14.738073348999023
32,1,she,f,Match,"When she was distraught, the",wife,9.366873741149902
32,1,he,f,Mismatch,"When he was distraught,",Helen,15.478034973144531
1,1,he,m,Match,"When he was off work,",Russell,15.115483283996582
1,1,she,m,Mismatch,"When she was off work,",Dan,14.04455280303955
1,1,she,f,Match,"When she was off work,",Judy,15.083222389221191
1,1,he,f,Mismatch,"When he was off work,",Grace,16.57369041442871
2,1,he,m,Match,"When he arrived,",Benjamin,15.43008804321289
2,1,she,m,Mismatch,"When she arrived,",Steve,12.330123901367188
2,1,she,f,Match,"When she arrived,",Claire,13.47293758392334
2,1,he,f,Mismatch,"When he arrived,",Mary,13.062665939331055
3,1,he,m,Match,"When he was fed up,",Benjamin,15.542496681213379
3,1,she,m,Mismatch,"When she was fed up,",Marcus,15.511571884155273
3,1,she,f,Match,"When she was fed up,",Kristen,17.129526138305664
3,1,he,f,Mismatch,"When he was fed up,",Marie,16.213333129882812
4,1,he,m,Match,"When he was talking,",Richard,13.63390064239502
4,1,she,m,Mismatch,"When she was talking,",Alexander,15.08046817779541
4,1,she,f,Match,"When she was talking,",Marie,14.710296630859375
4,1,he,f,Mismatch,"When he was talking, the",wife,10.208388328552246
5,1,he,m,Match,"When he was nearby,",Keith,15.090019226074219
5,1,she,m,Mismatch,"When she was nearby,",Larry,14.897287368774414
5,1,she,f,Match,"When she was nearby, the",sister,11.572831153869629
5,1,he,f,Mismatch,"When he was nearby, the",girl,6.796955108642578
6,1,he,m,Match,"When he was lost, the",guy,12.048391342163086
6,1,she,m,Mismatch,"When she was lost,",Mark,14.576607704162598
6,1,she,f,Match,"When she was lost, the",girl,7.244610786437988
6,1,he,f,Mismatch,"When he was lost,",Suzanne,21.10843849182129
7,1,he,m,Match,"When he was bad-tempered,",Alexander,16.458904266357422
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,16.654647827148438
7,1,she,f,Match,"When she was bad-tempered,",Carrie,15.9796781539917
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,18.23959732055664
8,1,he,m,Match,"When he was jealous,",Benjamin,16.690034866333008
8,1,she,m,Mismatch,"When she was jealous,",Brian,16.47161102294922
8,1,she,f,Match,"When she was jealous, the",girlfriend,10.949305534362793
8,1,he,f,Mismatch,"When he was jealous,",Catherine,17.634145736694336
9,1,he,m,Match,"When he was in residence,",Mark,12.722878456115723
9,1,she,m,Mismatch,"When she was in residence,",Brad,14.646631240844727
9,1,she,f,Match,"When she was in residence,",Sheila,14.230865478515625
9,1,he,f,Mismatch,"When he was in residence,",Catherine,15.480305671691895
10,1,he,m,Match,"When he was introduced,",Charles,12.82132339477539
10,1,she,m,Mismatch,"When she was introduced,",Richard,12.709074974060059
10,1,she,f,Match,"When she was introduced,",Karen,12.699777603149414
10,1,he,f,Mismatch,"When he was introduced,",Claire,15.70306396484375
11,1,he,m,Match,"When he arrived,",Liam,15.777559280395508
11,1,she,m,Mismatch,"When she arrived,",Larry,13.879746437072754
11,1,she,f,Match,"When she arrived, the",mother,8.165345191955566
11,1,he,f,Mismatch,"When he arrived,",Carrie,15.64937686920166
12,1,he,m,Match,"When he felt sad,",Charles,14.471631050109863
12,1,she,m,Mismatch,"When she felt sad,",Dan,14.982955932617188
12,1,she,f,Match,"When she felt sad,",Theresa,16.481801986694336
12,1,he,f,Mismatch,"When he felt sad,",Kristen,18.732149124145508
13,1,he,m,Match,"When he was present,",Steven,14.81596565246582
13,1,she,m,Mismatch,"When she was present,",Bruce,13.440605163574219
13,1,she,f,Match,"When she was present,",Claire,12.91748046875
13,1,he,f,Mismatch,"When he was present,",Laura,14.981929779052734
14,1,he,m,Match,"When he was depressed,",Larry,15.401494979858398
14,1,she,m,Mismatch,"When she was depressed,",Brian,16.175697326660156
14,1,she,f,Match,"When she was depressed,",Alice,14.923501014709473
14,1,he,f,Mismatch,"When he was depressed,",Naomi,20.299877166748047
15,1,he,m,Match,"When he was around,",Guy,16.458736419677734
15,1,she,m,Mismatch,"When she was around,",Liam,16.648681640625
15,1,she,f,Match,"When she was around,",Teresa,16.39649200439453
15,1,he,f,Mismatch,"When he was around,",Christina,17.57333755493164
16,1,he,m,Match,"When he was near, the",father,10.13497257232666
16,1,she,m,Mismatch,"When she was near,",Russell,15.738831520080566
16,1,she,f,Match,"When she was near,",Kristen,17.815614700317383
16,1,he,f,Mismatch,"When he was near,",Dana,17.78731346130371
17,1,he,m,Match,"When he was in court, the",nephew,14.832161903381348
17,1,she,m,Mismatch,"When she was in court,",Russell,13.913311004638672
17,1,she,f,Match,"When she was in court, the",girl,7.7297234535217285
17,1,he,f,Mismatch,"When he was in court,",Naomi,18.264116287231445
18,1,he,m,Match,"When he was poorly,",Alexander,15.030312538146973
18,1,she,m,Mismatch,"When she was poorly,",Larry,15.285660743713379
18,1,she,f,Match,"When she was poorly,",Sheila,16.35625648498535
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,18.523191452026367
19,1,he,m,Match,"When he arrived,",Bradley,14.431427001953125
19,1,she,m,Mismatch,"When she arrived,",Keith,14.857686042785645
19,1,she,f,Match,"When she arrived,",Judy,13.412264823913574
19,1,he,f,Mismatch,"When he arrived,",Amanda,15.681918144226074
20,1,he,m,Match,"When he was appointed,",Steven,14.669841766357422
20,1,she,m,Mismatch,"When she was appointed,",Russell,14.092555046081543
20,1,she,f,Match,"When she was appointed, the",girlfriend,15.283820152282715
20,1,he,f,Mismatch,"When he was appointed,",Lori,18.241539001464844
21,1,he,m,Match,"When he was fired,",Donald,10.286726951599121
21,1,she,m,Mismatch,"When she was fired,",Russell,13.741433143615723
21,1,she,f,Match,"When she was fired,",Lori,15.830412864685059
21,1,he,f,Mismatch,"When he was fired,",Linda,14.703136444091797
22,1,he,m,Match,"When he was close,",Jason,15.310296058654785
22,1,she,m,Mismatch,"When she was close,",Charles,14.497485160827637
22,1,she,f,Match,"When she was close,",Cynthia,15.973005294799805
22,1,he,f,Mismatch,"When he was close,",Tiffany,16.944177627563477
23,1,he,m,Match,"When he was retired,",Thomas,12.046162605285645
23,1,she,m,Mismatch,"When she was retired,",Charles,12.47579574584961
23,1,she,f,Match,"When she was retired,",Lori,15.424046516418457
23,1,he,f,Mismatch,"When he was retired,",Teresa,16.54644203186035
24,1,he,m,Match,"When he was abroad,",Charles,12.731049537658691
24,1,she,m,Mismatch,"When she was abroad,",John,12.077980995178223
24,1,she,f,Match,"When she was abroad,",Karen,13.81922435760498
24,1,he,f,Mismatch,"When he was abroad,",Linda,16.4021053314209
25,1,he,m,Match,"When he was discovered,",Donald,13.875173568725586
25,1,she,m,Mismatch,"When she was discovered,",Douglas,15.500157356262207
25,1,she,f,Match,"When she was discovered,",Naomi,17.03453826904297
25,1,he,f,Mismatch,"When he was discovered,",Sheila,17.949602127075195
26,1,he,m,Match,"When he was busy,",Douglas,17.84457778930664
26,1,she,m,Mismatch,"When she was busy, the",nephew,13.99669075012207
26,1,she,f,Match,"When she was busy,",Elizabeth,12.687472343444824
26,1,he,f,Mismatch,"When he was busy,",Catherine,15.561543464660645
27,1,he,m,Match,"When he was twenty-one, the",father,7.065096855163574
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,12.482027053833008
27,1,she,f,Match,"When she was twenty-one,",Connie,14.384537696838379
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,16.679378509521484
28,1,he,m,Match,"When he was annoyed, the",guy,8.452842712402344
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,14.582940101623535
28,1,she,f,Match,"When she was annoyed,",Leslie,15.539132118225098
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,18.708423614501953
29,1,he,m,Match,"When he was in church,",Keith,16.079477310180664
29,1,she,m,Mismatch,"When she was in church,",Steve,14.641914367675781
29,1,she,f,Match,"When she was in church,",Ann,14.552355766296387
29,1,he,f,Mismatch,"When he was in church,",Sheila,19.50601577758789
30,1,he,m,Match,"When he was banished, the",guy,12.166605949401855
30,1,she,m,Mismatch,"When she was banished,",Keith,16.9049015045166
30,1,she,f,Match,"When she was banished,",Cynthia,15.044631004333496
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,12.640599250793457
31,1,he,m,Match,"When he was angry,",Russell,15.381848335266113
31,1,she,m,Mismatch,"When she was angry,",Jason,16.369863510131836
31,1,she,f,Match,"When she was angry,",Sheila,17.449777603149414
31,1,he,f,Mismatch,"When he was angry,",Teresa,16.538698196411133
32,1,he,m,Match,"When he was distraught,",Thomas,13.3352632522583
32,1,she,m,Mismatch,"When she was distraught,",Bruce,14.761860847473145
32,1,she,f,Match,"When she was distraught,",Teresa,14.018383026123047
32,1,he,f,Mismatch,"When he was distraught,",Laura,14.714109420776367
1,1,he,m,Match,"When he was off work,",Timothy,16.266605377197266
1,1,she,m,Mismatch,"When she was off work,",Ronald,15.732595443725586
1,1,she,f,Match,"When she was off work,",Amanda,14.050345420837402
1,1,he,f,Mismatch,"When he was off work, the",lady,11.366276741027832
2,1,he,m,Match,"When he arrived,",Alexander,13.534250259399414
2,1,she,m,Mismatch,"When she arrived,",Charles,13.405191421508789
2,1,she,f,Match,"When she arrived,",Julie,13.7937593460083
2,1,he,f,Mismatch,"When he arrived,",Diana,15.460114479064941
3,1,he,m,Match,"When he was fed up,",Phillip,17.76355743408203
3,1,she,m,Mismatch,"When she was fed up,",Bradley,17.04582405090332
3,1,she,f,Match,"When she was fed up,",Allison,15.709797859191895
3,1,he,f,Mismatch,"When he was fed up,",Lori,19.054365158081055
4,1,he,m,Match,"When he was talking, the",guy,7.96342658996582
4,1,she,m,Mismatch,"When she was talking,",Jason,14.768502235412598
4,1,she,f,Match,"When she was talking,",Amanda,14.206353187561035
4,1,he,f,Mismatch,"When he was talking,",Helen,15.169732093811035
5,1,he,m,Match,"When he was nearby,",Robert,12.971542358398438
5,1,she,m,Mismatch,"When she was nearby,",Charles,13.74078369140625
5,1,she,f,Match,"When she was nearby,",Rachel,13.102849960327148
5,1,he,f,Mismatch,"When he was nearby,",Carol,15.030903816223145
6,1,he,m,Match,"When he was lost,",Samuel,15.033225059509277
6,1,she,m,Mismatch,"When she was lost,",Roger,16.333932876586914
6,1,she,f,Match,"When she was lost,",Connie,16.425363540649414
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,16.74652099609375
7,1,he,m,Match,"When he was bad-tempered,",Christopher,17.44352912902832
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,16.89115333557129
7,1,she,f,Match,"When she was bad-tempered,",Diane,16.545333862304688
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,18.866878509521484
8,1,he,m,Match,"When he was jealous,",Bradley,18.60953140258789
8,1,she,m,Mismatch,"When she was jealous,",Brad,15.782073020935059
8,1,she,f,Match,"When she was jealous,",Maria,14.722841262817383
8,1,he,f,Mismatch,"When he was jealous,",Alice,16.899341583251953
9,1,he,m,Match,"When he was in residence,",Adam,14.543588638305664
9,1,she,m,Mismatch,"When she was in residence,",Rodney,17.0942440032959
9,1,she,f,Match,"When she was in residence,",Anne,12.519679069519043
9,1,he,f,Mismatch,"When he was in residence,",Natalie,17.141653060913086
10,1,he,m,Match,"When he was introduced, the",nephew,15.91543960571289
10,1,she,m,Mismatch,"When she was introduced,",Liam,16.11456871032715
10,1,she,f,Match,"When she was introduced,",Catherine,14.256468772888184
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,16.437705993652344
11,1,he,m,Match,"When he arrived,",Larry,14.004541397094727
11,1,she,m,Mismatch,"When she arrived,",Samuel,15.55308723449707
11,1,she,f,Match,"When she arrived,",Mary,11.984562873840332
11,1,he,f,Mismatch,"When he arrived, the",sister,13.305333137512207
12,1,he,m,Match,"When he felt sad,",Phillip,17.822072982788086
12,1,she,m,Mismatch,"When she felt sad,",Frank,15.377819061279297
12,1,she,f,Match,"When she felt sad,",Kristen,16.729774475097656
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,14.034942626953125
13,1,he,m,Match,"When he was present,",Dan,13.632898330688477
13,1,she,m,Mismatch,"When she was present,",Travis,16.898778915405273
13,1,she,f,Match,"When she was present, the",sister,11.206572532653809
13,1,he,f,Mismatch,"When he was present, the",mother,9.499639511108398
14,1,he,m,Match,"When he was depressed,",Russell,16.593475341796875
14,1,she,m,Mismatch,"When she was depressed,",Larry,15.877878189086914
14,1,she,f,Match,"When she was depressed,",Tara,15.722678184509277
14,1,he,f,Mismatch,"When he was depressed,",Leslie,18.118547439575195
15,1,he,m,Match,"When he was around,",Samuel,15.866276741027832
15,1,she,m,Mismatch,"When she was around,",Timothy,17.442228317260742
15,1,she,f,Match,"When she was around,",Sheila,16.1218204498291
15,1,he,f,Mismatch,"When he was around,",Kristen,18.410282135009766
16,1,he,m,Match,"When he was near,",Timothy,16.499906539916992
16,1,she,m,Mismatch,"When she was near,",Timothy,17.121370315551758
16,1,she,f,Match,"When she was near,",Danielle,17.748165130615234
16,1,he,f,Mismatch,"When he was near,",Cheryl,18.852724075317383
